Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
MND1,0.025760296,0.104539971,0.078779675
MNDA,0.089966955,0.106709382,0.016742427
MNS1,0.052526215,0.077882246,0.02535603
MNT,-0.0140876,-0.229760353,-0.215672753
MNX1,-0.041205664,-0.065501475,-0.024295811
MOAP1,0.007607624,-0.013740267,-0.021347891
MOB1A,-0.015236714,0.003377905,0.018614619
MOB1B,0.186690355,0.224456022,0.037765666
MOB2,-0.12584266,-0.123526929,0.002315731
MOB3A,-0.079743808,-0.062701637,0.017042171
MOB3B,0.130357677,0.083606146,-0.046751531
MOB3C,-0.169836941,-0.150408552,0.019428389
MOB4,-0.73908781,-0.751885317,-0.012797508
MOBP,-0.055563253,-0.015568617,0.039994636
MOCOS,0.058855089,0.065107534,0.006252446
MOCS1,0.081062839,0.088303197,0.007240358
MOCS2,0.011684845,0.049131261,0.037446415
MOCS3,-0.946891643,-0.931448784,0.01544286
MOG,-0.641713706,-0.669953211,-0.028239505
MOGAT1,0.035109999,0.098930035,0.063820035
MOGAT2,0.046676519,0.064084342,0.017407823
MOGAT3,-0.13270483,-0.094160339,0.038544491
MOGS,-0.373688313,-0.306664632,0.067023681
MOK,-0.442647825,-0.515096952,-0.072449127
MON1A,0.034054974,0.07536168,0.041306706
MON1B,0.030284981,0.04404117,0.013756189
MON2,-0.236483034,-0.290901719,-0.054418684
MORC1,0.022967782,0.002533508,-0.020434274
MORC2,-0.183386176,-0.156512574,0.026873603
MORC3,0.050192274,0.016672449,-0.033519825
MORF4L1,-0.121403633,-0.222124693,-0.10072106
MORN1,-0.161945847,-0.15464684,0.007299008
