,0,1,bc
411,-1.4018235,-5.894954,E2 w/d 0h
412,-8.516579,2.54344,E2 w/d 48h
413,-2.2733274,5.9769883,E2 w/d 24h
414,1.7465708,-3.2186556,E2 w/d 0h
415,-4.7043395,0.17009749,E2 w/d 48h
416,-7.628539,2.255554,E2 w/d 48h
417,3.0165365,8.138415,E2 w/d 12h
418,0.7553859,-2.3307955,E2 w/d 0h
419,-2.0197127,4.39498,E2 w/d 24h
420,4.7532506,-4.200751,E2 w/d 0h
421,2.278941,-1.4957258,E2 w/d 0h
422,3.9907646,2.892082,E2 w/d 12h
423,1.0742891,7.0246453,E2 w/d 24h
424,-1.8227957,2.4518564,E2 w/d 24h
425,-0.41422167,-5.119763,E2 w/d 0h
426,-8.464163,2.3694806,E2 w/d 48h
427,-4.412397,2.6326418,E2 w/d 48h
428,-1.494671,-4.312999,E2 w/d 0h
429,-1.2067168,-3.9895568,E2 w/d 0h
430,-2.0337143,3.0041344,E2 w/d 24h
431,-7.2370725,1.7586709,E2 w/d 48h
432,-1.1104376,-5.848803,E2 w/d 0h
433,4.452773,3.2124016,E2 w/d 12h
434,6.1178885,-2.7634876,E2 w/d 0h
435,3.7917984,5.4237547,E2 w/d 12h
436,3.0966802,-0.9346831,E2 w/d 0h
437,5.7158346,-2.1769407,E2 w/d 0h
438,1.6268536,-1.8191894,E2 w/d 0h
439,-1.5573709,4.447564,E2 w/d 24h
440,2.30272,7.882455,E2 w/d 12h
441,4.3493958,3.2171912,E2 w/d 12h
442,1.9585228,4.0591707,E2 w/d 12h
443,-8.580866,2.472987,E2 w/d 48h
444,4.907937,-2.4761338,E2 w/d 0h
445,-6.0565186,0.838815,E2 w/d 48h
446,0.9309726,-6.0280356,E2 w/d 0h
447,4.039324,-5.197931,E2 w/d 0h
448,3.383397,-1.49325,E2 w/d 0h
449,4.789866,-4.2786565,E2 w/d 0h
450,5.551181,-1.202339,E2 w/d 0h
451,-0.9778513,-4.0687256,E2 w/d 0h
452,-0.6166039,3.0476937,E2 w/d 24h
453,-0.25522003,4.018313,E2 w/d 24h
454,-5.333005,3.44445,E2 w/d 48h
455,1.1593783,-3.1267407,E2 w/d 0h
456,-6.538103,1.2959275,E2 w/d 48h
457,-2.743813,1.5468324,E2 w/d 24h
458,3.0210347,-1.4849743,E2 w/d 0h
459,4.9818854,-3.2231042,E2 w/d 0h
460,2.8771214,-1.5286427,E2 w/d 0h
461,1.6246848,3.248257,E2 w/d 12h
462,1.1153916,-3.080845,E2 w/d 0h
463,4.1221166,3.2652621,E2 w/d 12h
464,-0.5109718,2.6200488,E2 w/d 24h
465,2.3762522,-0.43161836,E2 w/d 0h
466,-0.9617686,2.7767687,E2 w/d 24h
467,0.5838357,-1.8377391,E2 w/d 0h
468,-8.696222,3.290383,E2 w/d 48h
469,-0.4776755,-6.6409435,E2 w/d 0h
470,2.5198448,8.003643,E2 w/d 12h
471,-2.6823075,3.1934893,E2 w/d 24h
472,-4.83788,4.6611147,E2 w/d 48h
473,0.09163157,1.27913,E2 w/d 48h
474,4.219892,-1.2411597,E2 w/d 0h
475,-0.4518586,-7.262827,E2 w/d 0h
476,-1.4563793,2.0300689,E2 w/d 24h
477,5.371665,-3.6856015,E2 w/d 0h
478,-2.7359278,2.9297867,E2 w/d 0h
479,1.8271137,-3.1923997,E2 w/d 0h
480,-2.1924639,1.6906842,E2 w/d 24h
481,0.17531784,-6.9204106,E2 w/d 0h
482,-7.527694,0.4527656,E2 w/d 48h
483,-0.19058585,4.156819,E2 w/d 24h
484,5.365519,-1.7811178,E2 w/d 0h
485,-4.4623413,5.2716246,E2 w/d 48h
486,2.794113,-1.597778,E2 w/d 0h
487,3.1501017,-2.5761778,E2 w/d 0h
488,1.5656514,-2.5738487,E2 w/d 0h
489,3.7722366,2.9464407,E2 w/d 12h
490,-3.0199656,5.9114223,E2 w/d 24h
491,-1.073545,-5.59222,E2 w/d 0h
492,-0.03672849,-5.645544,E2 w/d 0h
