_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.7,R-HSA-2559585,Oncogene Induced Senescence,M1,1,0
1,-2.2,WP5046,NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,M1,1,0
1,-5.7,GO:0018196,peptidyl-asparagine modification,M1,1,0
1,-8.9,CORUM:1167,Paf complex,M1,1,0
1,-6.3,R-HSA-168325,Viral Messenger RNA Synthesis,M1,1,0
1,-4.7,GO:1900247,regulation of cytoplasmic translational elongation,M1,1,0
1,-2.1,GO:0002637,regulation of immunoglobulin production,M1,1,0
1,-2.1,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-3.7,GO:0006399,tRNA metabolic process,M1,1,0
1,-4.5,CORUM:3075,UTX-MLL2/3 complex,M1,1,0
1,-3.3,GO:0090342,regulation of cell aging,M1,1,0
1,-2.8,GO:0009173,pyrimidine ribonucleoside monophosphate metabolic process,M1,1,0
1,-9.6,R-HSA-167162,RNA Polymerase II HIV Promoter Escape,M1,1,0
1,-13,GO:0032259,methylation,M1,1,0
1,-4.2,GO:2001252,positive regulation of chromosome organization,M1,1,0
1,-3.1,GO:0002521,leukocyte differentiation,M1,1,0
1,-6.3,GO:0090672,telomerase RNA localization,M1,1,0
1,-9.6,CORUM:514,TFIID-beta complex,M1,1,0
1,-3.1,GO:0070102,interleukin-6-mediated signaling pathway,M1,1,0
1,-8.4,GO:0044770,cell cycle phase transition,M1,1,0
1,-4,GO:0010390,histone monoubiquitination,M1,1,0
1,-3.6,R-HSA-191859,snRNP Assembly,M1,1,0
